Municipality,County,Muni/County,Year,Electric Utility,Residential Electricity,Commercial Electricity,Industrial Electricity,Street Lighting Electricity,Total Electricity (kWh),Natural Gas Utility,Residential Natural Gas,Commercial Natural Gas,Industrial Natural Gas,Street Lighting Natural Gas,Total Natural Gas (Therms)
Clifton City,Passaic,Clifton City Passaic,2022,PSEG,"208,163,055","343,317,912","81,407,226","4,209,792","637,097,985",PSEG,"24,512,056","13,221,207","2,095,282",NDA,"39,828,545"
Haledon Boro,Passaic,Haledon Boro Passaic,2022,PSEG,"19,068,438","13,351,975","9,628,640","549,345","42,598,398",PSEG,"2,487,520","2,720,502","612,026",NDA,"5,820,048"
Hawthorne Boro,Passaic,Hawthorne Boro Passaic,2022,PSEG,"56,177,900","36,026,516","13,836,558","849,156","106,890,130",PSEG,"6,729,304","1,923,396","251,810",NDA,"8,904,511"
Little Falls Twp,Passaic,Little Falls Twp Passaic,2022,PSEG,"37,551,461","49,343,416","2,009,156","780,456","89,684,489",PSEG,"3,656,698","8,637,054","84,223",NDA,"12,377,975"
North Haledon Boro,Passaic,North Haledon Boro Passaic,2022,PSEG,"31,703,852","12,387,161","186,594","328,088","44,605,695",PSEG,"3,800,408","805,928","2,590",NDA,"4,608,926"
Passaic City,Passaic,Passaic City Passaic,2022,PSEG,"119,370,380","138,967,673","17,287,745","5,403,949","281,029,747",PSEG,"12,695,826","9,415,450","629,464",NDA,"22,740,740"
Paterson City,Passaic,Paterson City Passaic,2022,PSEG/ACE,"290,669,430","384,374,890","44,331,458","16,557,521","735,933,299",PSEG,"35,823,891","25,621,774","2,815,405",NDA,"64,261,070"
Pompton Lakes Boro,Passaic,Pompton Lakes Boro Passaic,2022,JCPL,"36,240,233","17,288,885","7,028,209",NDA,"60,557,327",PSEG,"3,566,201","927,233","738,417",NDA,"5,231,851"
Prospect Park Boro,Passaic,Prospect Park Boro Passaic,2022,PSEG,"12,775,965","3,801,676","261,941","156,823","16,996,405",PSEG,"1,795,453","206,712","23,912",NDA,"2,026,077"
Ringwood Boro,Passaic,Ringwood Boro Passaic,2022,RECO/JCPL,"11,989,942","3,566,372","769,104",NDA,"16,325,418",PSEG,"3,858,229","673,001","6,610",NDA,"4,537,840"
Totowa Boro,Passaic,Totowa Boro Passaic,2022,PSEG,"35,855,844","147,128,472","64,763,199","849,400","248,596,915",PSEG,"4,246,621","3,831,405","1,183,576",NDA,"9,261,602"
Wanaque Boro,Passaic,Wanaque Boro Passaic,2022,JCPL,"35,363,404","19,376,926","21,111,498",NDA,"75,851,828",PSEG,"3,636,011","1,335,962","128,481",NDA,"5,100,455"
Wayne Twp,Passaic,Wayne Twp Passaic,2022,PSEG/JCPL,"182,580,116","296,178,166","56,612,623","2,070,123","537,441,028",PSEG,"19,962,386","11,149,095","524,029",NDA,"31,635,510"
West Milford Twp,Passaic,West Milford Twp Passaic,2022,RECO/JCPL,"15,077,579","7,224,440","3,309,198",NDA,"25,611,217",PSEG,"5,854,567","1,202,098","32,057",NDA,"7,088,723"
Woodland Park Boro,Passaic,Woodland Park Boro Passaic,2022,PSEG,"38,314,842","36,467,306","1,081,160","630,911","76,494,219",PSEG,"3,720,366","2,073,149","59,674",NDA,"5,853,190"
Alloway Twp,Salem,Alloway Twp Salem,2022,ACE,"11,382,398","2,795,623",NDA,"93,150","14,271,171",SJG,"30,429","2,952",NDA,NDA,"33,381"
Carneys Point Twp,Salem,Carneys Point Twp Salem,2022,ACE,"20,331,625","66,434,923","298,125","326,893","87,391,566",SJG,"2,553,148","1,835,490","3,331,565",NDA,"7,720,203"
Elmer Boro,Salem,Elmer Boro Salem,2022,ACE,"31,225,057","14,023,309","469,651","75,337","45,793,354",SJG,"673,559","969,198","33,956",NDA,"1,676,713"
Elsinboro Twp,Salem,Elsinboro Twp Salem,2022,ACE,"212,356","8,318",NDA,"27,270","247,944",SJG,714,NDA,NDA,NDA,714
Lower Alloways Creek Twp,Salem,Lower Alloways Creek Twp Salem,2022,ACE,"2,069,818","496,224","4,225","101,467","2,671,734",NDA,NDA,NDA,NDA,NDA,NDA
Mannington Twp,Salem,Mannington Twp Salem,2022,ACE,"4,203,594","5,959,305",200,"52,481","10,215,580",SJG,"104,523","792,693","2,892,577",NDA,"3,789,794"
Oldmans Twp,Salem,Oldmans Twp Salem,2022,ACE,"7,335,787","75,254,896","31,167,044","68,611","113,826,338",SJG,"499,212","817,587","15,147,849",NDA,"16,464,648"
Penns Grove Boro,Salem,Penns Grove Boro Salem,2022,ACE,"24,003,773","23,680,751","232,058","261,171","48,177,753",SJG,"2,405,093","2,459,712",NDA,NDA,"4,864,804"
Pennsville Twp,Salem,Pennsville Twp Salem,2022,ACE,"50,423,809","25,302,388","15,038,423","606,898","91,371,518",SJG,"4,672,147","4,350,339","3,506,503",NDA,"12,528,988"
Pilesgrove Twp,Salem,Pilesgrove Twp Salem,2022,ACE,"4,030,621","1,750,429",NDA,"50,809","5,831,859",SJG,"923,271","858,108",NDA,NDA,"1,781,379"
Pittsgrove Twp,Salem,Pittsgrove Twp Salem,2022,ACE,"13,374,900","7,781,149","4,611,524","57,874","25,825,447",SJG,"3,011,554","1,036,991","516,226",NDA,"4,564,771"
Quinton Twp,Salem,Quinton Twp Salem,2022,ACE,"8,042,743","2,834,043","193,373","68,986","11,139,145",SJG,"15,382",NDA,NDA,NDA,"15,382"
Salem City,Salem,Salem City Salem,2022,ACE,"32,291,498","29,449,741","16,647,294","428,617","78,817,150",SJG,"1,638,163","1,205,287","5,785,154",NDA,"8,628,604"
Upper Pittsgrove Twp,Salem,Upper Pittsgrove Twp Salem,2022,ACE,"14,202,761","11,881,599","2,618,476","2,750","28,705,586",SJG,"525,994","254,253",NDA,NDA,"780,247"
Woodstown Boro,Salem,Woodstown Boro Salem,2022,ACE,"30,334,207","18,892,925","186,344","117,491","49,530,967",SJG,"1,571,851","6,009,318","1,873",NDA,"7,583,041"
Bedminster Twp,Somerset,Bedminster Twp Somerset,2022,JCPL,"32,371,453","69,973,940","526,799",NDA,"102,872,192",PSEG,"2,176,451","724,030",NDA,NDA,"2,900,481"
Bernards Twp,Somerset,Bernards Twp Somerset,2022,PSEG/JCPL,"115,360,540","127,805,083","5,768,351",NDA,"248,933,974",PSEG,"11,179,609","5,182,277","45,042",NDA,"16,406,928"
Bernardsville Boro,Somerset,Bernardsville Boro Somerset,2022,JCPL,"47,310,675","22,134,264","11,124,658",NDA,"80,569,597",PSEG,"4,028,470","1,027,979","327,245",NDA,"5,383,694"
Bound Brook Boro,Somerset,Bound Brook Boro Somerset,2022,PSEG,"28,338,423","22,719,580","2,220,043","827,074","54,105,120",PSEG,"2,757,276","1,307,900","82,439",NDA,"4,147,615"
Branchburg Twp,Somerset,Branchburg Twp Somerset,2022,PSEG/JCPL,"59,479,308","200,236,882","62,358,830","29,637","322,104,657",PSEG,"5,554,365","7,710,176","1,005,076",NDA,"14,269,617"
Bridgewater Twp,Somerset,Bridgewater Twp Somerset,2022,PSEG/JCPL,"150,519,325","360,518,170","59,434,061","3,039,152","573,510,708",PSEG,"15,757,846","12,292,408","8,151,091",NDA,"36,201,344"
Far Hills Boro,Somerset,Far Hills Boro Somerset,2022,JCPL,"7,922,087","2,764,085",NDA,NDA,"10,686,172",PSEG,"512,527","70,058",NDA,NDA,"582,585"
Franklin Twp,Somerset,Franklin Twp (Somerset) Somerset,2022,PSEG,"197,765,129","547,776,320","123,448,970","5,163,542","874,153,961",PSEG,"19,683,388","14,515,079","2,625,947",NDA,"36,824,414"
Green Brook Twp,Somerset,Green Brook Twp Somerset,2022,PSEG/JCPL,"26,065,831","23,054,474","1,824,423","525,678","51,470,406",PSEG,"2,622,275","960,940","61,164",NDA,"3,644,378"
Hillsborough Twp,Somerset,Hillsborough Twp Somerset,2022,PSEG/JCPL,"150,462,316","106,662,874","17,860,137","2,075,527","277,060,854",PSEG,"11,895,237","3,092,160","1,234,139",NDA,"16,221,537"
Manville Boro,Somerset,Manville Boro Somerset,2022,PSEG,"27,615,044","15,756,636","524,467","579,552","44,475,699",PSEG,"2,976,289","872,478","4,153",NDA,"3,852,920"
Millstone Boro,Somerset,Millstone Boro Somerset,2022,PSEG,"1,740,245","289,409","19,760","67,051","2,116,465",PSEG,"165,553","22,276","5,440",NDA,"193,270"
Montgomery Twp,Somerset,Montgomery Twp Somerset,2022,PSEG,"87,335,394","53,298,856","17,397,479","915,600","158,947,329",PSEG,"8,442,254","2,441,599","374,865",NDA,"11,258,718"
North Plainfield Boro,Somerset,North Plainfield Boro Somerset,2022,PSEG,"49,521,668","30,716,418","629,063","1,228,693","82,095,842",PSEG,"5,038,666","2,847,801","111,129",NDA,"7,997,595"
Peapack-Gladstone Boro,Somerset,Peapack-Gladstone Boro Somerset,2022,JCPL,"13,529,926","10,422,521","1,200,589",NDA,"25,153,036",PSEG,"940,751","689,082",NDA,NDA,"1,629,832"
Raritan Boro,Somerset,Raritan Boro Somerset,2022,PSEG,"22,791,201","23,982,261","64,915,783","544,312","112,233,557",PSEG,"2,267,526","1,320,221","4,892,837",NDA,"8,480,584"
Rocky Hill Boro,Somerset,Rocky Hill Boro Somerset,2022,PSEG,"2,752,232","1,327,005","252,541","34,115","4,365,893",PSEG,"237,042","59,138","46,727",NDA,"342,907"
Somerville Boro,Somerset,Somerville Boro Somerset,2022,PSEG,"36,599,911","66,613,847","4,837,274","1,070,437","109,121,469",PSEG,"3,008,245","3,504,906","58,915",NDA,"6,572,066"
South Bound Brook Boro,Somerset,South Bound Brook Boro Somerset,2022,PSEG,"13,674,344","3,990,993","1,703","321,105","17,988,145",PSEG,"1,150,321","203,322","2,912",NDA,"1,356,555"
Warren Twp,Somerset,Warren Twp Somerset,2022,PSEG/JCPL,"80,680,145","79,475,156","2,791,475","169,612","163,116,388",PSEG,"8,128,918","3,862,966","87,586",NDA,"12,079,470"
Watchung Boro,Somerset,Watchung Boro Somerset,2022,PSEG/JCPL,"30,071,424","36,545,604","8,145,427","450,144","75,212,599",PSEG,"3,274,252","2,171,781","852,343",NDA,"6,298,376"
Andover Boro,Sussex,Andover Boro Sussex,2022,JCPL,"3,213,924","2,608,411","67,882",NDA,"5,890,217",NDA,NDA,NDA,NDA,NDA,NDA
Andover Twp,Sussex,Andover Twp Sussex,2022,JCPL,"27,730,610","11,648,040","818,388",NDA,"40,197,038",ETG,"671,905","1,314,733","1,163,983",NDA,"3,150,621"
Branchville Boro,Sussex,Branchville Boro Sussex,2022,JCPL/ACE,"4,261,063","4,833,031",735,NDA,"9,094,829",NDA,NDA,NDA,NDA,NDA,NDA
Byram Twp,Sussex,Byram Twp Sussex,2022,JCPL,"37,492,636","13,516,550","347,824",NDA,"51,357,010",NDA,NDA,NDA,NDA,NDA,NDA
Frankford Twp,Sussex,Frankford Twp Sussex,2022,JCPL,"18,457,523","11,210,854","229,438",NDA,"29,897,815",ETG,"459,100","1,041,703",NDA,NDA,"1,500,803"
Franklin Boro,Sussex,Franklin Boro Sussex,2022,JCPL,"19,121,101","21,231,420","776,334",NDA,"41,128,855",ETG,"485,881","1,012,296",NDA,NDA,"1,498,177"
Fredon Twp,Sussex,Fredon Twp Sussex,2022,JCPL,"16,144,296","3,967,111","1,234,920",NDA,"21,346,327",ETG,"187,176","97,534",NDA,NDA,"284,710"
Green Twp,Sussex,Green Twp Sussex,2022,JCPL,"19,573,359","8,073,864","2,074,604",NDA,"29,721,827",NDA,NDA,NDA,NDA,NDA,NDA
Hamburg Boro,Sussex,Hamburg Boro Sussex,2022,JCPL,"14,619,859","4,985,477","4,597,590",NDA,"24,202,926",ETG,"1,647,890","1,121,087","203,062",NDA,"2,972,039"
Hampton Twp,Sussex,Hampton Twp Sussex,2022,JCPL,"22,238,006","16,119,449","6,263",NDA,"38,363,718",ETG,"813,327","1,201,118",NDA,NDA,"2,014,445"
Hardyston Twp,Sussex,Hardyston Twp Sussex,2022,JCPL,"31,489,277","15,170,174","369,825",NDA,"47,029,276",ETG,"3,371,656","1,585,545",NDA,NDA,"4,957,201"
Hopatcong Boro,Sussex,Hopatcong Boro Sussex,2022,JCPL,"66,232,823","9,833,794","333,496",NDA,"76,400,113",NDA,NDA,NDA,NDA,NDA,NDA
Lafayette Twp,Sussex,Lafayette Twp Sussex,2022,JCPL,"7,256,742","9,284,071","52,306",NDA,"16,593,119",ETG,"71,724","797,011",NDA,NDA,"868,735"
Montague Twp,Sussex,Montague Twp Sussex,2022,RECO/JCPL,"18,622,785","2,461,967","138,066",NDA,"21,222,818",NDA,NDA,NDA,NDA,NDA,NDA
Newton Town,Sussex,Newton Town Sussex,2022,JCPL,"26,760,624","60,372,819","1,712,971",NDA,"88,846,414",ETG,"2,986,804","4,255,046","1,046,146",NDA,"8,287,996"
Ogdensburg Boro,Sussex,Ogdensburg Boro Sussex,2022,JCPL,"8,751,372","2,033,790","2,937,287",NDA,"13,722,449",ETG,"337,910","173,414",NDA,NDA,"511,324"
Sandyston Twp,Sussex,Sandyston Twp Sussex,2022,JCPL,"9,884,625","2,620,207",NDA,NDA,"12,504,832",NDA,NDA,NDA,NDA,NDA,NDA
Sparta Twp,Sussex,Sparta Twp Sussex,2022,JCPL,"93,361,673","55,661,150","1,424,564",NDA,"150,447,387",ETG,"4,478,296","2,736,590",NDA,NDA,"7,214,886"
Stanhope Boro,Sussex,Stanhope Boro Sussex,2022,JCPL,"16,105,848","4,887,226","1,345,917",NDA,"22,338,991",NDA,NDA,NDA,NDA,NDA,NDA
Stillwater Twp,Sussex,Stillwater Twp Sussex,2022,JCPL,"21,276,453","3,320,905","163,231",NDA,"24,760,589",NDA,NDA,NDA,NDA,NDA,NDA
Sussex Boro,Sussex,Sussex Boro Sussex,2022,JCPL,"8,787,684","3,996,360","169,592",NDA,"12,953,636",ETG,"543,650","816,491",NDA,NDA,"1,360,141"
Vernon Twp,Sussex,Vernon Twp Sussex,2022,RECO/JCPL,"31,508,034","26,677,692","2,097,503",NDA,"60,283,229",ETG,"3,304,418","2,151,107",NDA,NDA,"5,455,525"
Walpack Twp,Sussex,Walpack Twp Sussex,2022,JCPL,"233,542","284,477",NDA,NDA,"518,019",NDA,NDA,NDA,NDA,NDA,NDA
Wantage Twp,Sussex,Wantage Twp Sussex,2022,JCPL,"15,162,280","15,364,397","516,676",NDA,"31,043,353",ETG,"267,964","803,617",NDA,NDA,"1,071,581"
Berkeley Heights Twp,Union,Berkeley Heights Twp Union,2022,PSEG/JCPL,"45,725,569","117,724,774","5,320,568",708,"168,771,619",PSEG,"5,015,761","3,580,559","272,730",NDA,"8,869,050"
Clark Twp,Union,Clark Twp Union,2022,PSEG,"52,527,748","59,688,837","15,212,600","1,104,586","128,533,771",ETG,"9,197,238","5,133,729","2,516,932",NDA,"16,847,899"
Cranford Twp,Union,Cranford Twp Union,2022,PSEG,"73,638,834","87,650,433","9,971,186","1,699,119","172,959,572",ETG,"14,509,122","5,611,243",NDA,NDA,"20,120,365"
Elizabeth City,Union,Elizabeth City Union,2022,PSEG,"240,281,091","463,198,609","94,820,013","12,026,452","810,326,165",ETG,"51,142,028","48,868,802","8,839,930",NDA,"108,850,760"
Fanwood Boro,Union,Fanwood Boro Union,2022,PSEG,"24,275,414","6,120,380","249,682","371,904","31,017,380",ETG,"4,792,310","518,417",NDA,NDA,"5,310,727"
Garwood Boro,Union,Garwood Boro Union,2022,PSEG,"14,055,881","16,604,092","2,750,825","319,973","33,730,771",ETG,"2,561,326","1,522,878",NDA,NDA,"4,084,204"
Hillside Twp,Union,Hillside Twp Union,2022,PSEG,"51,973,674","50,419,040","45,478,763","1,342,554","149,214,031",ETG/PSEG,"13,699,050","6,964,579","17,757,629",NDA,"38,421,258"
Kenilworth Boro,Union,Kenilworth Boro Union,2022,PSEG,"23,569,897","28,890,201","15,319,516","454,243","68,233,857",ETG,"4,789,544","4,408,052","34,894,506",NDA,"44,092,102"
Linden City,Union,Linden City Union,2022,PSEG,"101,659,239","183,389,996","316,523,065","4,232,312","605,804,612",ETG/PSEG,"20,669,301","21,678,193","369,571,506",NDA,"411,919,000"
Mountainside Boro,Union,Mountainside Boro Union,2022,PSEG/JCPL,"29,734,793","29,613,489","3,251,759","357,042","62,957,083",ETG,"5,781,793","2,444,867",NDA,NDA,"8,226,660"
New Providence Boro,Union,New Providence Boro Union,2022,JCPL,"44,048,677","32,935,751","3,722,999",NDA,"80,707,427",PSEG,"4,564,756","1,656,532","109,998",NDA,"6,331,285"
Plainfield City,Union,Plainfield City Union,2022,PSEG,"112,934,291","82,159,048","9,804,856","3,737,718","208,635,913",PSEG,"12,335,760","6,548,105","222,593",NDA,"19,106,459"
Rahway City,Union,Rahway City Union,2022,PSEG,"78,888,360","70,399,748","87,985,914","1,904,576","239,178,598",ETG/PSEG,"14,424,958","7,496,648","33,351,348",NDA,"55,272,954"
Roselle Boro,Union,Roselle Boro Union,2022,PSEG,"52,649,115","31,500,339","10,480,017","1,231,294","95,860,765",ETG,"11,344,137","5,578,639",NDA,NDA,"16,922,776"
Roselle Park Boro,Union,Roselle Park Boro Union,2022,PSEG,"33,488,914","12,246,785","531,633","1,024,714","47,292,046",ETG/PSEG,"6,679,310","3,230,107",NDA,NDA,"9,909,417"
Scotch Plains Twp,Union,Scotch Plains Twp Union,2022,PSEG,"86,959,449","38,817,522","1,107,070","1,149,728","128,033,769",ETG/PSEG,"17,034,068","4,296,330",NDA,NDA,"21,330,398"
Springfield Twp,Union,Springfield Twp (Union) Union,2022,PSEG/JCPL,"54,223,855","73,372,938","6,921,962",NDA,"134,518,755",PSEG,"5,316,626","3,631,443","248,170",NDA,"9,196,238"
Summit City,Union,Summit City Union,2022,JCPL,"84,730,339","147,266,547","41,733,260",NDA,"273,730,146",PSEG,"9,111,780","5,139,711","3,054,135",NDA,"17,305,626"
Union Twp,Union,Union Twp (Union) Union,2022,PSEG,"147,329,112","219,868,246","41,565,832","3,760,529","412,523,719",ETG/PSEG,"36,128,947","22,870,998","19,469,520",NDA,"78,469,466"
Westfield Town,Union,Westfield Town Union,2022,PSEG,"115,611,688","51,203,830","895,838","2,037,678","169,749,034",ETG/PSEG,"23,199,753","5,702,609",NDA,NDA,"28,902,362"
Winfield Twp,Union,Winfield Twp Union,2022,PSEG,"3,850,462","380,870",NDA,"76,357","4,307,689",ETG,"582,640","67,288",NDA,NDA,"649,928"
Allamuchy Twp,Warren,Allamuchy Twp Warren,2022,JCPL,"20,330,544","6,023,476","723,040",NDA,"27,077,060",ETG,"3,389,099","122,601","653,290",NDA,"4,164,990"
Alpha Boro,Warren,Alpha Boro Warren,2022,JCPL,"8,642,630","19,160,083","1,683,726",NDA,"29,486,439",ETG,"895,842","688,867",NDA,NDA,"1,584,709"
Belvidere Town,Warren,Belvidere Town Warren,2022,JCPL,"10,704,291","5,380,310","66,058,183",NDA,"82,142,784",ETG,"671,715","603,966","24,494,117",NDA,"25,769,798"
Blairstown Twp,Warren,Blairstown Twp Warren,2022,JCPL,"29,614,400","14,869,603","833,098",NDA,"45,317,101",NDA,NDA,NDA,NDA,NDA,NDA
Franklin Twp,Warren,Franklin Twp (Warren) Warren,2022,JCPL,"14,217,495","7,715,301","786,721",NDA,"22,719,517",ETG,"1,077,532","566,908",NDA,NDA,"1,644,440"
Frelinghuysen Twp,Warren,Frelinghuysen Twp Warren,2022,JCPL,"10,455,986","2,584,694","865,514",NDA,"13,906,194",NDA,NDA,NDA,NDA,NDA,NDA
Greenwich Twp,Warren,Greenwich Twp (Warren) Warren,2022,JCPL,"20,615,479","20,610,943","5,036,275",NDA,"46,262,697",ETG,"3,288,245","1,546,901",NDA,NDA,"4,835,146"
Hackettstown Town,Warren,Hackettstown Town Warren,2022,JCPL,"31,332,914","43,722,883","6,562,555",NDA,"81,618,352",ETG,"4,177,124","7,038,645","17,315,010",NDA,"28,530,779"
Hardwick Twp,Warren,Hardwick Twp Warren,2022,JCPL,"7,498,882","2,169,021",NDA,NDA,"9,667,903",NDA,NDA,NDA,NDA,NDA,NDA
Harmony Twp,Warren,Harmony Twp Warren,2022,JCPL,"12,000,891","3,677,085","428,706",NDA,"16,106,682",ETG,"2,283",NDA,NDA,NDA,"2,283"
Hope Twp,Warren,Hope Twp Warren,2022,JCPL,"8,945,388","2,906,764","5,120",NDA,"11,857,272",NDA,NDA,NDA,NDA,NDA,NDA
Independence Twp,Warren,Independence Twp Warren,2022,JCPL,"21,815,674","4,971,279","528,953",NDA,"27,315,906",ETG,"1,749,848","300,075",NDA,NDA,"2,049,923"
Knowlton Twp,Warren,Knowlton Twp Warren,2022,JCPL,"14,457,689","7,756,832","98,058",NDA,"22,312,579",NDA,NDA,NDA,NDA,NDA,NDA
Liberty Twp,Warren,Liberty Twp Warren,2022,JCPL,"12,645,021","1,058,001","216,480",NDA,"13,919,502",NDA,NDA,NDA,NDA,NDA,NDA
Lopatcong Twp,Warren,Lopatcong Twp Warren,2022,JCPL,"31,624,212","20,394,126","1,702,192",NDA,"53,720,530",ETG,"4,370,531","3,322,105",NDA,NDA,"7,692,636"
Mansfield Twp,Warren,Mansfield Twp (Warren) Warren,2022,JCPL,"26,430,072","24,920,539","20,986,610",NDA,"72,337,221",ETG,"2,333,106","2,203,243","1,524,021",NDA,"6,060,370"
Oxford Twp,Warren,Oxford Twp Warren,2022,JCPL,"9,597,072","3,091,786","810,374",NDA,"13,499,232",ETG,"607,908","133,120",61,NDA,"741,089"
Phillipsburg Town,Warren,Phillipsburg Town Warren,2022,JCPL,"47,145,559","39,838,928","46,027,491",NDA,"133,011,978",ETG,"7,320,259","4,208,572","15,053,894",NDA,"26,582,725"
Pohatcong Twp,Warren,Pohatcong Twp Warren,2022,JCPL,"14,718,155","15,170,425","1,332,250",NDA,"31,220,830",ETG,"337,631","634,949",NDA,NDA,"972,580"
Washington Boro,Warren,Washington Boro Warren,2022,JCPL,"23,928,997","13,804,459","13,918,178",NDA,"51,651,634",ETG,"3,573,476","1,912,382","1,571,942",NDA,"7,057,800"
Washington Twp,Warren,Washington Twp (Warren) Warren,2022,JCPL,"29,242,359","17,666,640","5,373,005",NDA,"52,282,004",ETG,"2,535,614","1,274,236",NDA,NDA,"3,809,850"
White Twp,Warren,White Twp Warren,2022,JCPL,"19,404,907","9,195,548","1,434,167",NDA,"30,034,622",ETG,"1,164,290","2,142,715",NDA,NDA,"3,307,005"