County,Year,Residential Electricity,Commercial Electricity,Industrial Electricity,Street Lighting Electricity,Total Electricity (kWh)
Atlantic,2016,981777809,1661251301,49358424,16649498,2709037032
Atlantic,2017,913650090,1611788063,52752241,16651657,2594842051
Atlantic,2018,975378380,1698052244,55912054,16329957,2745672635
Atlantic,2019,933672005,1690037993,55711441,16335204,2695756643
Atlantic,2020,942992282,1416476306,57398160,16261177,2433127925
Atlantic,2021,958340984,1731926993,54695271,16246898,2761210146
Atlantic,2022,936627642,1622886178,53059487,16046362,2628619669
Bergen,2016,2911334082,4548973016,780482807,49162925,8289952829
Bergen,2017,2775710767,4525148076,791823175,47517137,8140199155
Bergen,2018,2937312432,4623625635,808800765,49920850,8419659682
Bergen,2019,2785223394,4547735779,671768774,50741232,8055469180
Bergen,2020,2922404458,4219679153,695978569,50612937,7888675118
Bergen,2021,2913906905,4289903078,680114324,51386834,7935311141
Bergen,2022,3077401433,4324340631,716196733,56466289,8174405088
Burlington,2016,1554135237,1736572266,260736897,25919765,3577364167
Burlington,2017,1474033069,1716018840,254707099,24457295,3469216305
Burlington,2018,1676862226,1816425114,232892191,27951668,3754131199
Burlington,2019,1613175077,1751766396,279777721,28181261,3672900455
Burlington,2020,1633602943,1604701356,250441775,28323622,3517069696
Burlington,2021,1660981414,1650667465,236289943,28415344,3576354166
Burlington,2022,1637143820,1698584490,241570481,26661511,3603960302
Camden,2016,1795378255,2003137932,303955431,36736870,4139208489
Camden,2017,1705504527,1967380207,316922048,34981541,4024788323
Camden,2018,1798044425,2029911553,338460545,35087303,4201503825
Camden,2019,1738955415,1965427857,354524732,36904065,4095812068
Camden,2020,1779624000,1854010770,309557394,37182982,3980375146
Camden,2021,1819218295,1870440232,314467510,37591151,4041717188
Camden,2022,1794957183,1895665403,310148212,37537711,4038308509
Cape May,2016,675156678,473064398,171351553,7514873,1327087502
Cape May,2017,629632651,460447734,183470221,7546482,1281097088
Cape May,2018,694308564,510145711,197249081,7585601,1409288957
Cape May,2019,661632555,464755204,197015124,7183460,1330586343
Cape May,2020,669250798,424211749,189967274,7193423,1290623244
Cape May,2021,684978161,452837708,193794967,7215913,1338826749
Cape May,2022,658982775,447283868,198566831,7207733,1312041207
Cumberland,2016,310820671,358387116,357632860,4067817,1030908464
Cumberland,2017,291944790,354148559,359541783,4077341,1009712473
Cumberland,2018,305027595,355560799,366149881,4081658,1030819933
Cumberland,2019,291976892,344151300,351350868,4093524,991572584
Cumberland,2020,293120116,321150908,326102294,4100120,944473438
Cumberland,2021,301066313,333901164,310649240,4102860,949719577
Cumberland,2022,297548811,338529866,303236061,4095972,943410710
Essex,2016,1918931158,3536619473,379114706,82122064,5916787401
Essex,2017,1875623245,3504369492,375036375,78395287,5833424399
Essex,2018,1974476637,3609537174,372063839,84938053,6041015703
Essex,2019,1898477538,3536849736,363237622,81969902,5880534798
Essex,2020,1993409692,3337646582,356305332,80334302,5767695908
Essex,2021,2030072922,3307706665,345142100,82643114,5765564801
Essex,2022,2028410045,3415307145,361497616,78122512,5883337318
Gloucester,2016,1073839614,1630735055,376837111,11191458,3092603238
Gloucester,2017,999679861,1445199341,357840431,10646304,2813365937
Gloucester,2018,1049403231,1034505274,383208940,10640870,2477758315
Gloucester,2019,1008428010,1013467909,346266128,11327143,2379489190
Gloucester,2020,1018535233,940309501,311852341,11430897,2282127973
Gloucester,2021,1034094256,1013784403,273135619,11445357,2332459635
Gloucester,2022,1008758962,1053310846,312135013,11478493,2385683313
Hudson,2016,1398534119,3436827447,317774590,57890383,5211026539
Hudson,2017,1379596882,3454651236,325742777,59469363,5219460258
Hudson,2018,1469103778,3597821138,257263674,60493969,5384682559
Hudson,2019,1429458199,3509276876,223944354,61677198,5224356627
Hudson,2020,1474689742,3414429402,209620360,61228691,5159968195
Hudson,2021,1509783478,3359940294,209037140,62329021,5141089933
Hudson,2022,1542091845,3539989622,203910835,58191552,5344183854
Hunterdon,2016,838374754,1068973977,300000059,9805272,2217154060
Hunterdon,2017,842795525,1083100235,300246183,9522799,2235664737
Hunterdon,2018,580724060,400695025,164179975,1723341,1147322401
Hunterdon,2019,565283991,385172358,158725294,1732062,1110913705
Hunterdon,2020,578945130,351888826,141731934,1736454,1074302344
Hunterdon,2021,594412347,367811628,146809479,1731974,1110765428
Hunterdon,2022,590482843,378399889,147153907,27342823,1143379462
Mercer,2016,1085833516,1917146289,234191042,26654358,3263825206
Mercer,2017,1059210241,1888696637,218626524,26110444,3192643847
Mercer,2018,1125554791,1941521358,233517259,28999835,3329593243
Mercer,2019,1086086968,1841140877,236001232,27650332,3190879409
Mercer,2020,1121164319,1653035257,324967902,29017785,3128185263
Mercer,2021,1136277058,1640357243,281190840,28456006,3086281147
Mercer,2022,1123808714,1680904655,276477177,28634022,3109824568
Middlesex,2016,2208768120,4390632616,1371473934,46596579,8017471250
Middlesex,2017,2165330005,4429665383,1337863498,44868803,7977727691
Middlesex,2018,2263933112,4599660595,1370687994,52722154,8287003854
Middlesex,2019,2167211020,4548667408,1356715381,50699506,8123293316
Middlesex,2020,2238988184,4443116540,1301575846,52030648,8035711219
Middlesex,2021,2285266072,4377005282,1296070836,51680689,8010022879
Middlesex,2022,2267015630,4543500238,1274918491,43730559,8129164917
Monmouth,2016,2284865972,2099334605,307887408,24551446,4716639437
Monmouth,2017,2355080277,2163954154,317453606,25283196,4861771229
Monmouth,2018,2539499008,2315981216,327262142,26954367,5209696733
Monmouth,2019,2445308860,2251707113,319448439,26847860,5043312272
Monmouth,2020,2505077246,2066200002,298741700,26741315,4896760263
Monmouth,2021,2581922119,2141349609,306594947,26732823,5056599498
Monmouth,2022,2531659192,2170704562,300863034,49522419,5052749202
Morris,2016,1561880325,2064242089,590038470,13827838,4229988724
Morris,2017,1610294809,2127591785,608280660,14239058,4360406315
Morris,2018,1704233904,2203146299,645584805,14472319,4567437327
Morris,2019,1648532445,2186754901,622776219,14424210,4472487775
Morris,2020,1699853560,2002220220,574414680,13985692,4290474151
Morris,2021,1732212114,1995906595,565038661,13995439,4307152808
Morris,2022,1721372489,2117771967,551718551,48312682,4439175688
Ocean,2016,2353986788,1371833166,121047692,26925085,3873792729
Ocean,2017,2397598031,1406889391,124389869,27629110,3956506401
Ocean,2018,2530524072,1474164236,126203546,29608611,4160500465
Ocean,2019,2454600810,1444598435,128408319,30593655,4058201219
Ocean,2020,2498648234,1306576396,124453658,30984954,3960663242
Ocean,2021,2580130715,1353330520,124539165,30869228,4088869628
Ocean,2022,2556946968,1374311894,121525596,23099488,4075883946
Passaic,2016,1203269144,1496930806,320484113,33417923,3054101986
Passaic,2017,1179173448,1484836079,321492623,32542674,3018044826
Passaic,2018,1253030457,1539829503,351856407,34728855,3179445222
Passaic,2019,1192693788,1483974953,352057062,32933076,3061658878
Passaic,2020,1246831612,1431477344,342088283,34275938,3054673178
Passaic,2021,1249052043,1459693659,337876003,32637275,3079258981
Passaic,2022,1215316279,1540148684,324387627,34209063,3114061652
Salem,2016,268491897,199238224,138920470,2287077,608937668
Salem,2017,252190511,195939488,139260845,2292657,589683501
Salem,2018,262958952,210552660,136862103,2304665,612678380
Salem,2019,251288415,205970237,132198445,2323563,591780660
Salem,2020,253150348,189681300,123678880,2331877,568842405
Salem,2021,255760291,197230130,121789697,2335225,577115343
Salem,2022,253464947,286545623,73692055,2339805,616042430
Somerset,2016,1131427031,1868045102,372681268,17246072,3389399476
Somerset,2017,1115141369,1884744388,378748192,16889892,3395523844
Somerset,2018,1184522506,1925883001,419226490,17640571,3547272568
Somerset,2019,1137626512,1863331119,388752300,17579527,3407289458
Somerset,2020,1172982889,1747881631,386188006,18029140,3325081666
Somerset,2021,1194132335,1758808724,392765219,17847699,3363553977
Somerset,2022,1181906621,1806064378,385355582,19446807,3392773388
Sussex,2016,497049193,380146829,358841549,2389275,1238426843
Sussex,2017,512421850,391903947,369939738,2463166,1276728703
Sussex,2018,528269947,404024688,381381175,2578947,1316254757
Sussex,2019,509520386,390791872,391270800,2582118,1294165176
Sussex,2020,522139300,361625919,401208230,2596292,1287569741
Sussex,2021,536195845,333569868,413580871,2610468,1285957052
Sussex,2022,540572878,312628747,425432889,18499079,1297133594
Union,2016,1415623976,1929939002,518779693,37537647,3901880316
Union,2017,1407496710,1947972349,602932600,36666970,3995068630
Union,2018,1455450850,1946592575,592762483,39629266,4034435174
Union,2019,1395566438,1863763707,545001866,37695347,3842027358
Union,2020,1457214642,1725862399,603241427,38812908,3825131376
Union,2021,1477637927,1736169944,533204692,38503157,3785515720
Union,2022,1472156402,1803451475,729292997,79322602,4084223476
Warren,2016,428205454,270082521,148335771,3594136,850217884
Warren,2017,444129489,273466269,152015144,3687076,873297979
Warren,2018,415658443,305673725,180040432,2741206,904113806
Warren,2019,400979549,295103918,170677501,2745029,869505997
Warren,2020,412837405,270043898,154454299,2763177,840098779
Warren,2021,426291907,280864585,165722168,2774722,875653382
Warren,2022,425368617,286688726,175803144,11246615,899107103
