Year,County,Total:,"    $10,000 to $14,999","    $100,000 to $124,999","    $125,000 to $149,999","    $15,000 to $19,999","    $150,000 to $199,999","    $20,000 to $24,999","    $200,000 or more","    $25,000 to $29,999","    $30,000 to $34,999","    $35,000 to $39,999","    $40,000 to $44,999","    $45,000 to $49,999","    $50,000 to $59,999","    $60,000 to $74,999","    $75,000 to $99,999","    Less than $10,000"
2016,Hudson,"253,321","10,248","22,994","15,317","11,500","19,011","10,247","27,614","9,996","9,683","9,508","9,818","9,434","19,101","20,290","28,123","20,437"
2016,Hunterdon,"47,195",598,"5,817","3,877",734,"7,075","1,028","10,060","1,767","1,500",422,918,"1,108","2,170","3,583","5,209","1,329"
2016,Mercer,"128,332","4,657","13,510","8,444","5,760","11,060","4,404","17,254","4,760","4,713","3,310","3,587","3,353","7,567","12,600","15,983","7,370"
2016,Middlesex,"283,661","8,838","31,772","23,415","9,745","29,421","8,441","31,251","8,714","9,839","10,277","9,102","8,881","18,396","24,352","38,896","12,321"
2016,Monmouth,"230,769","7,949","24,553","17,482","5,178","27,756","8,538","35,860","8,556","7,713","7,372","6,140","5,581","14,155","18,758","26,379","8,799"
2016,Morris,"181,059","3,992","21,266","15,816","3,926","22,608","3,556","38,705","3,745","4,824","5,301","4,571","3,465","11,350","11,777","21,264","4,893"
2016,Ocean,"224,308","9,761","22,542","14,448","10,417","14,823","12,184","13,472","12,172","10,437","10,903","9,848","6,809","15,379","22,024","29,483","9,606"
2016,Passaic,"163,868","7,765","16,471","9,678","10,349","13,040","7,430","12,855","7,290","6,378","6,439","6,558","6,120","10,666","14,127","18,036","10,666"
2016,Salem,"24,195","1,500","1,433","1,694","1,217","1,627","1,386",895,"1,170",994,"1,080","1,039","1,301","2,643","2,150","2,672","1,394"
2016,Somerset,"116,169","2,352","14,263","8,337","2,400","15,259","2,797","24,671","2,867","2,755","2,283","3,488","3,539","5,772","8,682","12,754","3,950"
2016,Sussex,"51,978",952,"6,471","4,387","1,252","5,951","1,372","5,628","1,329","1,640","1,590","1,328","1,586","3,095","4,866","8,810","1,721"
2016,Union,"187,922","5,534","16,198","12,806","6,755","15,829","6,582","23,882","8,343","6,324","6,070","8,305","6,360","12,318","19,786","22,281","10,549"
2016,Warren,"40,512",785,"6,451","2,421","1,034","3,434","2,454","3,539","1,491","1,930","1,309","1,025","1,402","3,397","4,142","4,367","1,331"
2017,Atlantic,"97,618","5,634","10,483","6,353","5,490","6,422","4,493","5,969","4,812","4,626","4,350","3,435","2,935","4,916","8,795","11,744","7,161"
2017,Bergen,"338,516","9,141","35,572","27,800","10,719","37,175","10,323","59,629","8,060","9,380","9,202","9,945","8,758","17,317","27,821","43,617","14,057"
2017,Burlington,"164,248","4,531","19,056","14,247","3,714","16,570","5,327","19,008","4,570","4,547","4,435","5,831","4,988","12,325","15,182","24,780","5,137"
2017,Camden,"190,616","7,669","18,241","12,827","8,307","14,616","8,650","15,190","7,622","9,180","5,995","5,745","7,041","13,826","17,634","23,979","14,094"
2017,Cape May,"39,526","1,152","4,214","2,760","1,334","2,363","1,936","2,672",910,"1,824","1,550","1,491","1,104","3,182","5,094","5,327","2,613"
2017,Cumberland,"50,696","2,746","5,184","2,786","3,016","2,282","2,934","1,720","1,865","3,498","1,996","2,302","1,308","4,281","4,664","5,979","4,135"
2017,Essex,"284,928","11,798","21,536","15,609","12,821","19,531","13,475","36,147","12,045","11,887","10,325","12,472","9,540","19,010","21,784","28,810","28,138"
2017,Gloucester,"105,236","2,139","14,911","7,762","3,602","11,680","3,110","9,777","4,434","2,508","4,240","4,086","2,823","6,286","8,950","15,571","3,357"
2017,Hudson,"251,906","11,326","23,238","13,707","10,123","21,749","10,150","29,756","10,034","11,051","10,312","9,477","7,444","15,726","22,418","26,782","18,613"
2017,Hunterdon,"45,967",463,"5,447","4,108","1,086","6,735","1,094","9,888","1,513",885,469,"1,237",579,"1,591","4,356","5,093","1,423"
2017,Mercer,"128,757","4,292","11,587","9,928","4,652","10,659","3,416","19,723","3,764","5,619","3,835","5,323","3,860","7,439","11,526","14,577","8,557"
2017,Middlesex,"285,446","6,365","32,832","22,492","6,378","30,904","8,409","35,538","8,161","9,966","7,451","8,409","9,865","19,820","26,398","38,086","14,372"
2017,Monmouth,"235,727","5,590","23,564","18,956","5,701","30,080","7,798","43,737","5,890","6,853","6,694","6,331","5,926","13,026","19,482","27,069","9,030"
2017,Morris,"180,854","3,663","20,727","16,928","2,388","24,251","4,156","40,756","4,326","4,572","4,412","3,333","4,977","7,662","13,794","20,238","4,671"
2017,Ocean,"225,847","7,933","23,815","16,070","10,257","17,459","9,718","17,582","6,834","10,821","7,988","7,470","8,608","14,930","22,593","32,764","11,005"
2017,Passaic,"168,397","7,494","14,603","10,499","8,556","13,997","6,905","12,002","7,299","7,458","5,940","6,484","5,316","12,840","14,959","22,739","11,306"
2017,Salem,"24,801",888,"2,440","1,651","1,678","1,726","1,266","1,464","1,214",804,"1,232",949,683,"1,560","2,321","2,932","1,993"
2017,Somerset,"114,812","2,634","11,944","10,248","2,369","15,695","3,025","25,628","2,410","2,465","3,000","3,467","2,305","6,499","8,378","12,289","2,456"
2017,Sussex,"53,396",540,"6,658","5,236","1,129","5,834","1,162","5,793","1,960","2,243","2,173","1,682","1,046","3,531","5,370","7,291","1,748"
2017,Union,"190,138","5,434","19,013","15,236","7,640","16,300","8,030","23,950","6,471","8,322","6,946","6,777","7,085","12,283","15,306","23,853","7,492"
2017,Warren,"41,366","1,702","5,214","3,163","1,399","4,054","1,139","3,460","1,294","1,468",917,"1,693","1,589","2,445","3,929","6,532","1,368"
2018,Atlantic,"96,981","3,914","10,438","5,524","4,863","5,678","3,956","6,881","3,551","3,611","4,953","3,849","3,491","8,943","9,634","11,877","5,818"
2018,Bergen,"339,953","8,572","37,568","24,514","9,586","40,407","11,703","68,421","10,176","10,637","10,159","8,333","8,268","17,951","24,803","35,863","12,992"
2018,Burlington,"166,698","3,406","19,063","12,364","4,483","18,213","5,473","19,586","4,211","4,060","6,654","6,178","5,069","10,824","17,862","23,979","5,273"
2018,Camden,"188,840","7,613","19,902","13,796","9,740","15,691","7,930","14,406","7,511","9,640","6,765","5,643","6,394","12,132","16,769","22,827","12,081"
2018,Cape May,"39,208","1,409","2,647","2,973","2,055","3,009","1,334","3,439","1,307","1,779","1,444","2,237","1,085","3,495","3,261","5,925","1,809"
2018,Cumberland,"50,034","2,619","4,371","2,497","3,563","2,366","2,440","1,675","2,215","2,424","2,793","1,818","1,956","2,948","6,202","5,764","4,383"
2018,Essex,"289,921","15,087","22,967","15,165","13,636","20,782","12,939","37,505","12,491","11,825","9,950","10,752","7,498","19,172","22,983","32,207","24,962"
2018,Gloucester,"101,414","2,895","12,140","8,339","2,762","9,683","4,181","11,405","2,921","3,518","4,225","3,232","3,223","7,032","9,375","13,590","2,893"
2018,Hudson,"263,924","10,057","22,796","18,218","10,854","24,309","10,199","34,175","9,684","9,192","7,645","8,982","8,954","14,870","23,419","31,727","18,843"
2018,Hunterdon,"47,733",574,"5,346","3,571",940,"7,065","1,042","10,539","1,499","1,278","1,619",633,"1,191","1,475","4,326","5,314","1,321"
2018,Mercer,"132,980","4,593","12,855","10,998","4,296","12,171","5,055","18,336","4,982","3,701","4,478","3,265","3,726","6,576","12,961","16,513","8,474"
2018,Middlesex,"285,480","6,489","31,912","25,180","7,488","34,889","8,827","35,380","8,385","9,272","9,726","8,738","7,239","17,645","26,796","35,040","12,474"
2018,Monmouth,"236,327","4,626","24,351","19,970","6,603","29,186","8,564","44,259","6,459","5,981","5,615","6,266","5,088","14,051","18,892","26,434","9,982"
2018,Morris,"181,738","3,045","18,759","14,528","3,436","24,739","4,534","42,533","3,176","4,325","3,903","4,870","3,890","9,240","13,137","22,677","4,946"
2018,Ocean,"228,622","7,858","21,825","16,696","9,288","18,437","9,036","18,346","9,836","11,859","9,600","9,483","7,699","16,800","22,926","29,749","9,184"
2018,Passaic,"169,521","6,130","17,571","11,353","8,797","14,468","6,914","18,116","5,969","6,051","4,462","5,783","6,335","9,571","15,354","23,540","9,107"
2018,Salem,"23,952","1,137","2,560","1,958",961,"1,388","1,033","1,391","1,400",690,"1,180",849,494,"1,337","2,716","3,010","1,848"
2018,Somerset,"118,729","2,135","11,258","12,534","1,999","15,967","2,902","29,293","3,182","2,955","1,979","2,222","2,861","5,059","7,707","12,822","3,854"
2018,Sussex,"53,749","1,066","6,082","4,725","1,221","6,452","1,320","7,300",914,"1,560","1,398","1,568","1,784","3,782","3,810","9,088","1,679"
2018,Union,"192,021","5,795","17,644","15,349","6,682","20,974","8,252","26,084","4,314","7,598","6,140","5,740","6,563","11,606","18,572","23,514","7,194"
2018,Warren,"41,742","1,217","4,657","3,243","1,592","4,039","2,047","4,004","1,436","1,125","1,552","1,469","1,630","2,194","3,729","6,062","1,746"
2019,Atlantic,"101,975","3,796","10,238","6,237","4,448","7,679","4,631","7,331","3,101","5,270","2,338","5,725","5,226","6,643","10,518","12,211","6,583"
2019,Bergen,"343,733","6,498","37,500","29,647","6,054","43,778","9,325","75,081","8,084","7,584","8,265","11,233","8,279","15,821","25,475","39,304","11,805"
2019,Burlington,"170,074","2,572","19,129","14,385","4,708","19,188","4,779","21,869","4,287","5,208","5,438","5,887","4,417","11,545","17,334","25,099","4,229"
2019,Camden,"187,780","6,336","20,924","13,991","6,582","15,847","7,468","19,029","6,262","8,076","5,201","7,966","5,222","12,347","18,578","22,216","11,735"
2019,Cape May,"40,939","1,366","3,255","3,539","1,216","3,492","1,558","4,301","1,727","1,786","1,929","2,092","1,369","2,411","4,203","4,972","1,723"
2019,Cumberland,"51,360","2,497","5,969","2,674","2,205","2,331","2,609","2,204","2,370","2,373","2,598",949,"1,921","6,113","5,146","5,546","3,855"
2019,Essex,"295,976","12,736","25,018","14,901","10,319","21,712","12,893","38,408","11,393","13,285","10,381","10,668","9,344","21,737","26,770","31,438","24,973"
2019,Gloucester,"106,705","2,784","11,554","9,588","3,120","12,468","3,852","12,541","4,340","3,263","3,087","2,588","2,834","5,604","10,049","14,982","4,051"
2019,Hudson,"266,664","12,483","27,518","17,113","9,008","23,534","10,487","37,701","7,501","9,036","7,821","8,408","8,791","14,182","24,476","32,182","16,423"
2019,Hunterdon,"47,901",652,"5,593","3,865",636,"6,388","1,048","11,588","1,170","1,786","1,074",818,861,"2,681","3,683","5,179",879
2019,Mercer,"130,851","4,735","12,404","10,076","4,157","11,792","3,682","19,512","3,724","4,993","3,316","3,358","3,501","7,184","12,792","14,936","10,689"
2019,Middlesex,"285,906","6,841","31,491","25,357","6,909","34,664","8,825","43,589","6,329","8,559","9,135","7,672","9,009","16,610","22,553","36,474","11,889"
2019,Monmouth,"240,377","5,786","25,235","21,665","5,221","28,041","6,209","49,685","6,944","8,121","5,982","5,644","4,507","10,549","18,821","27,375","10,592"
2019,Morris,"184,885","2,956","18,730","15,983","3,520","23,937","5,242","46,284","3,781","4,368","4,453","4,061","4,548","8,678","14,084","19,552","4,708"
2019,Ocean,"226,725","5,349","27,336","17,370","6,735","19,888","11,440","18,926","8,852","8,579","7,631","8,887","6,532","18,524","22,308","31,304","7,064"
2019,Passaic,"168,059","6,824","18,422","11,888","5,479","16,300","6,639","17,612","5,500","7,197","5,633","4,807","4,591","13,307","13,381","22,244","8,235"
2019,Salem,"24,404","1,564","2,474","1,126","1,531","2,435",889,"1,803",424,"1,082","1,113","1,186",707,"1,405","3,281","2,688",696
2019,Somerset,"122,606","2,229","11,899","9,618","1,480","15,330","2,194","30,795","2,549","2,596","3,846","2,452","2,422","6,407","10,018","15,545","3,226"
2019,Sussex,"54,099",593,"7,488","4,483","1,052","7,210","1,231","8,414","1,218","1,195","1,267","1,090","1,085","3,598","5,001","7,628","1,546"
2019,Union,"192,848","4,992","17,053","13,373","6,191","18,403","6,990","28,827","6,052","6,619","6,536","8,284","5,910","14,444","18,201","23,118","7,855"
2019,Warren,"42,397","1,534","4,541","3,181","1,037","4,572","1,027","4,227","1,281","1,452",959,995,"2,350","2,669","3,880","7,074","1,618"
2021,Atlantic,"112,299","4,486","10,592","8,319","4,260","8,163","5,029","8,925","5,523","4,136","4,311","4,803","3,494","8,698","10,071","15,040","6,449"
2021,Bergen,"352,030","5,750","36,023","30,074","7,452","42,211","7,112","78,656","7,490","10,832","8,658","8,562","8,393","19,479","25,986","37,652","17,700"
2021,Burlington,"175,859","3,868","18,325","16,996","2,931","22,546","3,515","25,589","4,569","6,047","4,627","5,564","3,295","11,757","14,321","24,192","7,717"
2021,Camden,"201,158","6,699","22,939","16,422","7,412","19,662","7,443","20,859","6,209","6,583","6,071","5,708","6,405","12,921","19,893","23,717","12,215"
2021,Cape May,"48,860","1,855","4,782","3,383","1,095","3,712","2,120","5,267","1,457","2,543","1,067","1,857","1,402","3,108","5,013","8,448","1,751"
2021,Cumberland,"53,883","2,843","5,248","4,593","2,399","3,263","2,576","2,629","2,176","2,878","2,046","2,537","1,850","5,097","4,814","5,573","3,361"
2021,Essex,"322,453","15,218","25,654","16,359","17,048","22,606","12,627","47,355","11,200","10,655","11,091","11,404","10,625","20,331","29,444","34,645","26,191"
2021,Gloucester,"112,502","3,495","13,070","9,741","2,811","14,597","2,591","16,164","2,928","3,607","3,156","3,161","2,972","5,745","10,755","14,107","3,602"
2021,Hudson,"292,000","15,554","29,597","17,626","11,028","27,142","9,711","46,294","9,361","8,809","8,124","9,291","7,824","16,093","24,140","33,400","18,006"
2021,Hunterdon,"51,292",669,"4,885","5,241","1,011","7,525","1,068","12,546",816,411,"1,599","1,244","1,094","2,120","3,587","6,139","1,337"
2021,Mercer,"143,970","5,706","14,903","11,733","3,849","13,258","3,622","23,734","5,374","3,404","2,827","4,464","4,231","8,991","11,655","17,880","8,339"
2021,Middlesex,"307,831","8,259","36,492","28,511","7,476","38,050","9,029","50,098","7,476","9,568","7,225","10,165","8,489","14,410","23,575","37,360","11,648"
2021,Monmouth,"250,738","7,388","24,575","19,823","5,714","33,115","6,981","57,923","5,511","7,123","6,161","5,996","6,217","10,972","17,432","25,580","10,227"
2021,Morris,"192,847","3,339","18,191","16,563","2,169","24,659","4,902","53,774","4,223","3,143","4,691","4,537","3,146","8,789","12,461","23,418","4,842"
2021,Ocean,"240,736","6,530","23,058","16,495","8,292","24,430","7,979","26,366","9,845","8,538","8,723","8,895","8,326","19,930","20,628","31,397","11,304"
2021,Passaic,"177,063","8,803","15,546","13,298","6,067","17,973","6,257","20,157","6,622","6,182","5,182","8,192","4,047","10,338","16,340","22,037","10,022"
2021,Salem,"24,973",891,"2,796","1,934",814,"2,346",693,"1,417","1,063","1,298",610,"1,000",694,"1,922","2,847","3,153","1,495"
2021,Somerset,"130,939","2,205","12,292","11,842","2,220","15,653","2,105","37,915","2,149","1,810","4,014","2,154","3,153","5,568","9,147","15,380","3,332"
2021,Sussex,"58,767","1,030","6,425","6,307","1,181","7,099","1,484","9,502","1,477","1,267","1,020","1,783","1,315","3,585","5,507","8,439","1,346"
2021,Union,"201,392","6,556","19,802","14,997","4,702","21,910","6,153","34,147","6,827","6,619","6,562","6,412","4,800","11,758","18,312","24,044","7,791"
2021,Warren,"46,353","1,528","5,783","4,107","1,123","4,258","1,429","5,053","1,391","1,637","1,730","1,448","1,981","2,814","3,324","5,685","3,062"
2022,Atlantic,"106,972","3,456","13,238","7,792","3,572","9,538","3,650","10,834","4,273","5,683","4,200","2,421","3,632","7,202","9,012","14,443","4,026"
2022,Bergen,"354,937","7,906","33,977","27,791","6,803","47,484","5,972","89,376","9,955","12,338","7,371","7,108","8,017","16,746","25,754","35,148","13,191"
2022,Burlington,"176,334","2,309","21,574","14,734","4,058","21,533","3,036","30,930","5,654","4,895","5,233","4,884","3,553","11,084","15,376","21,816","5,665"
2022,Camden,"203,530","8,554","20,042","15,394","4,894","21,925","6,709","25,771","6,701","5,483","5,818","5,028","6,416","15,483","16,780","26,015","12,517"
2022,Cape May,"48,563","1,454","5,693","3,877","1,358","5,529","1,167","6,154","2,219","1,185",723,"2,442","1,898","2,725","4,134","6,004","2,001"
2022,Cumberland,"54,961","2,559","4,954","3,423","2,464","3,366","2,246","3,898","2,337","2,928","2,887","2,451","1,443","5,128","6,368","5,997","2,512"
2022,Essex,"321,371","12,439","25,505","18,953","13,274","28,651","10,928","52,255","11,753","12,271","10,196","12,140","6,726","18,397","27,257","35,310","25,316"
2022,Gloucester,"111,781","3,337","11,825","11,091","2,843","15,611","2,288","16,222","2,695","3,277","3,595","2,498","2,479","6,243","10,919","13,263","3,595"
2022,Hudson,"304,526","12,745","27,642","21,244","8,667","30,426","7,837","52,703","8,435","10,814","8,011","8,197","7,135","18,163","28,377","34,348","19,782"
2022,Hunterdon,"50,515",453,"4,889","3,545",235,"9,860",930,"14,659",516,834,870,942,"1,026","2,622","2,599","5,338","1,197"
2022,Mercer,"144,989","6,331","14,619","10,336","3,021","16,905","2,657","28,258","3,433","4,412","4,239","4,967","2,773","6,366","11,493","16,274","8,905"
2022,Middlesex,"306,950","7,214","32,061","29,888","8,411","36,460","8,793","58,740","5,140","8,648","7,630","6,557","7,079","17,828","24,107","37,663","10,731"
2022,Monmouth,"253,767","5,507","26,281","23,705","5,185","33,241","5,271","62,628","5,282","5,922","4,740","7,725","6,110","10,103","15,407","28,166","8,494"
2022,Morris,"194,141","2,238","18,144","16,919","2,459","28,302","1,739","57,017","4,496","5,387","2,302","4,452","3,247","6,403","14,721","20,445","5,870"
2022,Ocean,"241,983","6,199","25,163","19,982","6,119","23,487","8,339","32,104","8,005","8,979","9,030","7,499","8,691","17,442","23,153","28,698","9,093"
2022,Passaic,"179,292","8,605","18,055","12,330","5,889","17,119","4,772","23,445","5,950","6,533","7,296","5,882","7,302","10,421","13,847","23,078","8,768"
2022,Salem,"25,221","1,095","2,509","2,425",231,"1,871",782,"2,345",765,"1,026",688,470,774,"1,790","3,124","3,952","1,374"
2022,Somerset,"130,178","1,833","14,120","10,583","1,430","18,730","1,456","39,774","1,132","2,307","2,264","1,571","2,441","4,820","8,133","15,372","4,212"
2022,Sussex,"58,885",560,"7,219","7,561",965,"8,181","1,449","10,943",501,873,748,"1,906","1,375","3,479","3,965","7,265","1,895"
2022,Union,"202,575","6,575","19,958","14,912","4,930","20,989","4,935","43,978","6,220","6,631","6,712","4,833","5,726","12,374","16,491","22,571","4,740"
2022,Warren,"45,507",528,"7,270","4,856","1,183","5,769","1,809","4,418","1,175","1,190",800,"1,669",668,"2,451","3,228","7,106","1,387"
2023,Atlantic,"111,158","4,115","10,867","9,500","3,255","10,363","2,722","11,711","3,544","4,837","3,311","3,761","2,868","8,431","11,369","14,625","5,879"
2023,Bergen,"356,438","8,070","36,615","28,108","9,004","43,192","5,531","96,208","6,144","7,986","8,146","7,178","7,945","16,343","24,147","39,024","12,797"
2023,Burlington,"179,477","3,558","22,167","14,548","2,065","24,051","4,829","31,758","3,972","4,979","3,695","5,360","5,294","10,027","13,288","24,565","5,321"
2023,Camden,"201,670","6,674","20,829","16,676","5,348","21,268","6,305","26,254","6,633","7,513","5,843","7,881","5,631","11,506","15,847","26,667","10,795"
2023,Cape May,"47,516","1,191","4,162","3,134",607,"5,580","1,693","7,715","2,515","1,535","2,007","1,708",976,"2,366","3,823","6,349","2,155"
2023,Cumberland,"54,482","2,542","4,572","3,424","2,669","4,410","1,798","3,212","2,561","1,459","1,929","1,871","2,810","3,825","5,826","8,109","3,465"
2023,Essex,"322,456","13,577","27,129","18,511","10,345","26,119","10,781","62,996","9,205","12,760","11,085","11,016","8,567","17,904","27,463","33,990","21,008"
2023,Gloucester,"113,391","2,749","13,725","9,410","3,359","15,327","2,058","17,464","2,416","2,955","2,140","2,407","3,274","7,414","10,034","14,125","4,534"
2023,Hudson,"305,743","12,192","31,370","21,139","9,339","28,740","9,284","58,869","7,957","8,244","7,585","9,738","8,024","16,737","25,086","33,280","18,159"
2023,Hunterdon,"51,186",799,"5,157","4,521",676,"7,144","1,085","16,062",622,723,"1,147",530,655,"2,112","3,254","5,142","1,557"
2023,Mercer,"146,258","4,060","15,386","10,606","3,335","15,508","3,337","28,855","4,443","4,266","5,584","3,452","5,371","6,847","11,879","14,230","9,099"
2023,Middlesex,"311,100","7,846","31,522","25,602","5,845","38,563","9,463","68,009","6,149","6,532","5,637","8,119","7,725","15,823","25,913","36,583","11,769"
2023,Monmouth,"252,995","5,415","27,420","19,196","5,074","30,888","6,306","68,845","4,441","5,997","5,578","5,226","7,092","13,238","15,192","25,466","7,621"
2023,Morris,"193,192","2,859","20,131","15,542","2,376","26,875","3,815","61,079","4,187","2,818","3,863","2,620","3,356","7,738","11,831","19,609","4,493"
2023,Ocean,"245,827","6,081","26,214","18,494","5,351","28,746","8,579","32,065","6,314","10,607","8,040","8,810","6,896","14,501","23,171","32,995","8,963"
2023,Passaic,"178,277","7,060","17,129","15,625","7,901","18,136","6,839","25,158","5,214","4,828","5,884","4,599","5,398","10,392","14,759","20,936","8,419"
2023,Salem,"25,207","1,011","3,476","2,361",582,"2,270",799,"2,290",956,"1,037",672,469,"1,040",780,"2,038","3,845","1,581"
2023,Somerset,"132,047","1,528","12,570","11,474","2,125","19,359","2,253","43,272","2,123","2,670","1,891","2,830","1,316","4,979","8,357","11,168","4,132"
2023,Sussex,"58,679",706,"7,008","6,068",867,"8,614","1,071","10,473",948,"1,036","1,436","1,630","1,042","3,251","4,570","8,319","1,640"
2023,Union,"206,095","5,066","20,836","16,246","3,391","22,724","4,754","44,659","3,587","4,155","6,817","6,225","4,907","10,739","16,227","28,513","7,249"
2023,Warren,"45,263",469,"5,721","4,890",958,"5,538","1,245","6,660","1,108","1,168",678,"1,234","1,316","2,285","5,312","4,611","2,070"
